[Connect DataFile][1.1]
Date:	11.03.2026
Time:	11:54:29,321
Unit:	°C
Resolution:	0,037037
Values:	1
Time	Area 1	
00:11:36,962	753,0	
00:11:36,999	753,1	
00:11:37,036	753,1	
00:11:37,073	753,2	
00:11:37,110	753,2	
00:11:37,147	753,3	
00:11:37,184	753,3	
00:11:37,221	753,4	
00:11:37,258	753,4	
00:11:37,295	753,5	
00:11:37,332	753,6	
00:11:37,369	753,6	
00:11:37,406	753,7	
00:11:37,443	753,7	
00:11:37,480	753,8	
00:11:37,517	753,8	
00:11:37,554	753,9	
00:11:37,591	753,9	
00:11:37,628	754,0	
00:11:37,665	754,0	
00:11:37,703	754,1	
00:11:37,740	754,1	
00:11:37,777	754,2	
00:11:37,814	754,2	
00:11:37,851	754,3	
00:11:37,888	754,3	
00:11:37,925	754,4	
00:11:37,962	754,5	
00:11:37,999	754,5	
00:11:38,036	754,6	
00:11:38,073	754,6	
00:11:38,110	754,7	
00:11:38,147	754,7	
00:11:38,184	754,8	
00:11:38,221	754,8	
00:11:38,258	754,9	
00:11:38,295	754,9	
00:11:38,332	755,0	
00:11:38,369	755,0	
00:11:38,406	755,1	
00:11:38,443	755,1	
00:11:38,480	755,2	
00:11:38,517	755,2	
00:11:38,554	755,3	
00:11:38,591	755,4	
00:11:38,628	755,4	
00:11:38,665	755,5	
00:11:38,703	755,5	
00:11:38,740	755,6	
00:11:38,777	755,6	
00:11:38,814	755,7	
00:11:38,851	755,7	
00:11:38,888	755,8	
00:11:38,925	755,8	
00:11:38,962	755,9	
00:11:38,999	755,9	
00:11:39,036	756,0	
00:11:39,073	756,0	
00:11:39,110	756,1	
00:11:39,147	756,1	
00:11:39,184	756,2	
00:11:39,221	756,3	
00:11:39,258	756,3	
00:11:39,295	756,4	
00:11:39,332	756,4	
00:11:39,369	756,5	
00:11:39,406	756,5	
00:11:39,443	756,6	
00:11:39,480	756,6	
00:11:39,517	756,7	
00:11:39,554	756,7	
00:11:39,591	756,8	
00:11:39,628	756,8	
00:11:39,665	756,9	
00:11:39,703	756,9	
00:11:39,740	757,0	
00:11:39,777	757,0	
00:11:39,814	757,1	
00:11:39,851	757,2	
00:11:39,888	757,2	
00:11:39,925	757,3	
00:11:39,962	757,3	
00:11:39,999	757,4	
00:11:40,036	757,4	
00:11:40,073	757,5	
00:11:40,110	757,5	
00:11:40,147	757,6	
00:11:40,184	757,6	
00:11:40,221	757,7	
00:11:40,258	757,7	
00:11:40,295	757,8	
00:11:40,332	757,8	
00:11:40,369	757,9	
00:11:40,406	757,9	
00:11:40,443	758,0	
00:11:40,480	758,1	
00:11:40,517	758,1	
00:11:40,554	758,2	
00:11:40,591	758,2	
00:11:40,628	758,3	
00:11:40,665	758,3	
00:11:40,703	758,4	
00:11:40,740	758,4	
00:11:40,777	758,5	
00:11:40,814	758,5	
00:11:40,851	758,6	
00:11:40,888	758,6	
00:11:40,925	758,7	
00:11:40,962	758,7	
00:11:40,999	758,8	
00:11:41,036	758,8	
00:11:41,073	758,9	
00:11:41,110	759,0	
00:11:41,147	759,0	
00:11:41,184	759,1	
00:11:41,221	759,1	
00:11:41,258	759,2	
00:11:41,295	759,2	
00:11:41,332	759,3	
00:11:41,369	759,3	
00:11:41,406	759,4	
00:11:41,443	759,4	
00:11:41,480	759,5	
00:11:41,517	759,5	
00:11:41,554	759,6	
00:11:41,591	759,6	
00:11:41,628	759,7	
00:11:41,665	759,7	
00:11:41,703	759,8	
00:11:41,740	759,9	
00:11:41,777	759,9	
00:11:41,814	760,0	
00:11:41,851	760,0	
00:11:41,888	760,1	
00:11:41,925	760,1	
00:11:41,962	760,2	
00:11:41,999	760,2	
00:11:42,036	760,3	
00:11:42,073	760,3	
00:11:42,110	760,4	
00:11:42,147	760,4	
00:11:42,184	760,5	
00:11:42,221	760,5	
00:11:42,258	760,6	
00:11:42,295	760,6	
00:11:42,332	760,7	
00:11:42,369	760,8	
00:11:42,406	760,8	
00:11:42,443	760,9	
00:11:42,480	760,9	
00:11:42,517	761,0	
00:11:42,554	761,0	
00:11:42,591	761,1	
00:11:42,628	761,1	
00:11:42,665	761,2	
00:11:42,703	761,2	
00:11:42,740	761,3	
00:11:42,777	761,3	
00:11:42,814	761,4	
00:11:42,851	761,4	
00:11:42,888	761,5	
00:11:42,925	761,5	
00:11:42,962	761,6	
00:11:42,999	761,7	
00:11:43,036	761,7	
00:11:43,073	761,8	
00:11:43,110	761,8	
00:11:43,147	761,9	
00:11:43,184	761,9	
00:11:43,221	762,0	
00:11:43,258	762,0	
00:11:43,295	762,1	
00:11:43,332	762,1	
00:11:43,369	762,2	
00:11:43,406	762,2	
00:11:43,443	762,3	
00:11:43,480	762,3	
00:11:43,517	762,4	
00:11:43,554	762,4	
00:11:43,591	762,5	
00:11:43,628	762,6	
00:11:43,665	762,6	
00:11:43,703	762,7	
00:11:43,740	762,7	
00:11:43,777	762,8	
00:11:43,814	762,8	
00:11:43,851	762,9	
00:11:43,888	762,9	
00:11:43,925	763,0	
00:11:43,962	763,0	
00:11:43,999	763,1	
00:11:44,036	763,1	
00:11:44,073	763,2	
00:11:44,110	763,2	
00:11:44,147	763,3	
00:11:44,184	763,3	
00:11:44,221	763,4	
00:11:44,258	763,5	
00:11:44,295	763,5	
00:11:44,332	763,6	
00:11:44,369	763,6	
00:11:44,406	763,7	
00:11:44,443	763,7	
00:11:44,480	763,8	
00:11:44,517	763,8	
00:11:44,554	763,9	
00:11:44,591	763,9	
00:11:44,628	764,0	
00:11:44,665	764,0	
00:11:44,702	764,1	
00:11:44,740	764,1	
00:11:44,777	764,2	
00:11:44,814	764,2	
00:11:44,851	764,3	
00:11:44,888	764,4	
00:11:44,925	764,4	
00:11:44,962	764,5	
00:11:44,999	764,5	
00:11:45,036	764,6	
00:11:45,073	764,6	
00:11:45,110	764,7	
00:11:45,147	764,7	
00:11:45,184	764,8	
00:11:45,221	764,8	
00:11:45,258	764,9	
00:11:45,295	764,9	
00:11:45,332	765,0	
00:11:45,369	765,0	
00:11:45,406	765,1	
00:11:45,443	765,1	
00:11:45,480	765,2	
00:11:45,517	765,3	
00:11:45,554	765,3	
00:11:45,591	765,4	
00:11:45,628	765,4	
00:11:45,665	765,5	
00:11:45,702	765,5	
00:11:45,740	765,6	
00:11:45,777	765,6	
00:11:45,814	765,7	
00:11:45,851	765,7	
00:11:45,888	765,8	
00:11:45,925	765,8	
00:11:45,962	765,9	
00:11:45,999	765,9	
00:11:46,036	766,0	
00:11:46,073	766,0	
00:11:46,110	766,1	
00:11:46,147	766,1	
00:11:46,184	766,2	
00:11:46,221	766,3	
00:11:46,258	766,3	
00:11:46,295	766,4	
00:11:46,332	766,4	
00:11:46,369	766,5	
00:11:46,406	766,5	
00:11:46,443	766,6	
00:11:46,480	766,6	
00:11:46,517	766,7	
00:11:46,554	766,7	
00:11:46,591	766,8	
00:11:46,628	766,8	
00:11:46,665	766,9	
00:11:46,702	766,9	
00:11:46,740	767,0	
00:11:46,777	767,0	
00:11:46,814	767,1	
00:11:46,851	767,2	
00:11:46,888	767,2	
00:11:46,925	767,3	
00:11:46,962	767,3	
00:11:46,999	767,4	
00:11:47,036	767,4	
00:11:47,073	767,5	
00:11:47,110	767,5	
00:11:47,147	767,6	
00:11:47,184	767,6	
00:11:47,221	767,7	
00:11:47,258	767,7	
00:11:47,295	767,8	
00:11:47,332	767,8	
00:11:47,369	767,9	
00:11:47,406	767,9	
00:11:47,443	768,0	
00:11:47,480	768,1	
00:11:47,517	768,1	
00:11:47,554	768,2	
00:11:47,591	768,2	
00:11:47,628	768,3	
00:11:47,665	768,3	
00:11:47,702	768,4	
00:11:47,740	768,4	
00:11:47,777	768,5	
00:11:47,814	768,5	
00:11:47,851	768,6	
00:11:47,888	768,6	
00:11:47,925	768,7	
00:11:47,962	768,7	
00:11:47,999	768,8	
00:11:48,036	768,8	
00:11:48,073	768,9	
00:11:48,110	769,0	
00:11:48,147	769,0	
00:11:48,184	769,1	
00:11:48,221	769,1	
00:11:48,258	769,2	
00:11:48,295	769,2	
00:11:48,332	769,3	
00:11:48,369	769,3	
00:11:48,406	769,4	
00:11:48,443	769,4	
00:11:48,480	769,5	
00:11:48,517	769,5	
00:11:48,554	769,6	
00:11:48,591	769,6	
00:11:48,628	769,7	
00:11:48,665	769,7	
00:11:48,702	769,8	
00:11:48,740	769,9	
00:11:48,777	769,9	
00:11:48,814	770,0	
00:11:48,851	770,0	
00:11:48,888	770,1	
00:11:48,925	770,1	
00:11:48,962	770,2	
00:11:48,999	770,2	
00:11:49,036	770,3	
00:11:49,073	770,3	
00:11:49,110	770,4	
00:11:49,147	770,4	
00:11:49,184	770,5	
00:11:49,221	770,5	
00:11:49,258	770,6	
00:11:49,295	770,6	
00:11:49,332	770,7	
00:11:49,369	770,8	
00:11:49,406	770,8	
00:11:49,443	770,9	
00:11:49,480	770,9	
00:11:49,517	771,0	
00:11:49,554	771,0	
00:11:49,591	771,1	
00:11:49,628	771,1	
00:11:49,665	771,2	
00:11:49,702	771,2	
00:11:49,740	771,3	
00:11:49,777	771,3	
00:11:49,814	771,4	
00:11:49,851	771,4	
00:11:49,888	771,5	
00:11:49,925	771,5	
00:11:49,962	771,6	
00:11:49,999	771,7	
00:11:50,036	771,7	
00:11:50,073	771,8	
00:11:50,110	771,8	
00:11:50,147	771,9	
00:11:50,184	771,9	
00:11:50,221	772,0	
00:11:50,258	772,0	
00:11:50,295	772,1	
00:11:50,332	772,1	
00:11:50,369	772,2	
00:11:50,406	772,2	
00:11:50,443	772,3	
00:11:50,480	772,3	
00:11:50,517	772,4	
00:11:50,554	772,4	
00:11:50,591	772,5	
00:11:50,628	772,6	
00:11:50,665	772,6	
00:11:50,702	772,7	
00:11:50,740	772,7	
00:11:50,777	772,8	
00:11:50,814	772,8	
00:11:50,851	772,9	
00:11:50,888	772,9	
00:11:50,925	773,0	
00:11:50,962	773,0	
00:11:50,999	773,1	
00:11:51,036	773,1	
00:11:51,073	773,2	
00:11:51,110	773,2	
00:11:51,147	773,3	
00:11:51,184	773,3	
00:11:51,221	773,4	
00:11:51,258	773,5	
00:11:51,295	773,5	
00:11:51,332	773,6	
00:11:51,369	773,6	
00:11:51,406	773,7	
00:11:51,443	773,7	
00:11:51,480	773,8	
00:11:51,517	773,8	
00:11:51,554	773,9	
00:11:51,591	773,9	
00:11:51,628	774,0	
00:11:51,665	774,0	
00:11:51,702	774,1	
00:11:51,740	774,1	
00:11:51,777	774,2	
00:11:51,814	774,2	
00:11:51,851	774,3	
00:11:51,888	774,3	
00:11:51,925	774,4	
00:11:51,962	774,4	
00:11:51,999	774,5	
00:11:52,036	774,5	
00:11:52,073	774,5	
00:11:52,110	774,6	
00:11:52,147	774,6	
00:11:52,184	774,7	
00:11:52,221	774,7	
00:11:52,258	774,7	
00:11:52,295	774,8	
00:11:52,332	774,8	
00:11:52,369	774,9	
00:11:52,406	774,9	
00:11:52,443	774,9	
00:11:52,480	775,0	
00:11:52,517	775,0	
00:11:52,554	775,1	
00:11:52,591	775,1	
00:11:52,628	775,1	
00:11:52,665	775,2	
00:11:52,702	775,2	
00:11:52,740	775,3	
00:11:52,777	775,3	
00:11:52,814	775,3	
00:11:52,851	775,4	
00:11:52,888	775,4	
00:11:52,925	775,5	
00:11:52,962	775,5	
00:11:52,999	775,5	
00:11:53,036	775,6	
00:11:53,073	775,6	
00:11:53,110	775,7	
00:11:53,147	775,7	
00:11:53,184	775,7	
00:11:53,221	775,8	
00:11:53,258	775,8	
00:11:53,295	775,9	
00:11:53,332	775,9	
00:11:53,369	775,9	
00:11:53,406	776,0	
00:11:53,443	776,0	
00:11:53,480	776,1	
00:11:53,517	776,1	
00:11:53,554	776,1	
00:11:53,591	776,2	
00:11:53,628	776,2	
00:11:53,665	776,3	
00:11:53,702	776,3	
00:11:53,740	776,3	
00:11:53,777	776,4	
00:11:53,814	776,4	
00:11:53,851	776,5	
00:11:53,888	776,5	
00:11:53,925	776,5	
00:11:53,962	776,6	
00:11:53,999	776,6	
00:11:54,036	776,7	
00:11:54,073	776,7	
00:11:54,110	776,7	
00:11:54,147	776,8	
00:11:54,184	776,8	
00:11:54,221	776,9	
00:11:54,258	776,9	
00:11:54,295	776,9	
00:11:54,332	777,0	
00:11:54,369	777,0	
00:11:54,406	777,1	
00:11:54,443	777,1	
00:11:54,480	777,1	
00:11:54,517	777,2	
00:11:54,554	777,2	
00:11:54,591	777,3	
00:11:54,628	777,3	
00:11:54,665	777,3	
00:11:54,702	777,4	
00:11:54,740	777,4	
00:11:54,777	777,5	
00:11:54,814	777,5	
00:11:54,851	777,5	
00:11:54,888	777,6	
00:11:54,925	777,6	
00:11:54,962	777,6	
00:11:54,999	777,7	
00:11:55,036	777,7	
00:11:55,073	777,8	
00:11:55,110	777,8	
00:11:55,147	777,8	
00:11:55,184	777,9	
00:11:55,221	777,9	
00:11:55,258	778,0	
00:11:55,295	778,0	
00:11:55,332	778,0	
00:11:55,369	778,1	
00:11:55,406	778,1	
00:11:55,443	778,2	
00:11:55,480	778,2	
00:11:55,517	778,2	
00:11:55,554	778,3	
00:11:55,591	778,3	
00:11:55,628	778,4	
00:11:55,665	778,4	
00:11:55,702	778,4	
00:11:55,740	778,5	
00:11:55,777	778,5	
00:11:55,814	778,6	
00:11:55,851	778,6	
00:11:55,888	778,6	
00:11:55,925	778,7	
00:11:55,962	778,7	
00:11:55,999	778,8	
00:11:56,036	778,8	
00:11:56,073	778,8	
00:11:56,110	778,9	
00:11:56,147	778,9	
00:11:56,184	779,0	
00:11:56,221	779,0	
00:11:56,258	779,0	
00:11:56,295	779,1	
00:11:56,332	779,1	
00:11:56,369	779,2	
00:11:56,406	779,2	
00:11:56,443	779,2	
00:11:56,480	779,3	
00:11:56,517	779,3	
00:11:56,554	779,4	
00:11:56,591	779,4	
00:11:56,628	779,4	
00:11:56,665	779,5	
00:11:56,702	779,5	
00:11:56,740	779,6	
00:11:56,777	779,6	
00:11:56,814	779,6	
00:11:56,851	779,7	
00:11:56,888	779,7	
00:11:56,925	779,8	
00:11:56,962	779,8	
00:11:56,999	779,8	
00:11:57,036	779,9	
00:11:57,073	779,9	
00:11:57,110	780,0	
00:11:57,147	780,0	
00:11:57,184	780,0	
00:11:57,221	780,1	
00:11:57,258	780,1	
00:11:57,295	780,2	
00:11:57,332	780,2	
00:11:57,369	780,2	
00:11:57,406	780,3	
00:11:57,443	780,3	
00:11:57,480	780,4	
00:11:57,517	780,4	
00:11:57,554	780,4	
00:11:57,591	780,5	
00:11:57,628	780,5	
00:11:57,665	780,6	
00:11:57,702	780,6	
00:11:57,740	780,6	
00:11:57,777	780,7	
00:11:57,814	780,7	
00:11:57,851	780,8	
00:11:57,888	780,8	
00:11:57,925	780,8	
00:11:57,962	780,9	
00:11:57,999	780,9	
00:11:58,036	781,0	
00:11:58,073	781,0	
00:11:58,110	781,0	
00:11:58,147	781,1	
00:11:58,184	781,1	
00:11:58,221	781,2	
00:11:58,258	781,2	
00:11:58,295	781,2	
00:11:58,332	781,3	
00:11:58,369	781,3	
00:11:58,406	781,4	
00:11:58,443	781,4	
00:11:58,480	781,4	
00:11:58,517	781,5	
00:11:58,554	781,5	
00:11:58,591	781,6	
00:11:58,628	781,6	
00:11:58,665	781,6	
00:11:58,702	781,7	
00:11:58,740	781,7	
00:11:58,777	781,8	
00:11:58,814	781,8	
00:11:58,851	781,8	
00:11:58,888	781,9	
00:11:58,925	781,9	
00:11:58,962	782,0	
00:11:58,999	782,0	
00:11:59,036	782,0	
00:11:59,073	782,1	
00:11:59,110	782,1	
00:11:59,147	782,2	
00:11:59,184	782,2	
00:11:59,221	782,2	
00:11:59,258	782,3	
00:11:59,295	782,3	
00:11:59,332	782,4	
00:11:59,369	782,4	
00:11:59,406	782,4	
00:11:59,443	782,5	
00:11:59,480	782,5	
00:11:59,517	782,6	
00:11:59,554	782,6	
00:11:59,591	782,6	
00:11:59,628	782,7	
00:11:59,665	782,7	
00:11:59,702	782,8	
00:11:59,740	782,8	
00:11:59,777	782,8	
00:11:59,814	782,9	
00:11:59,851	782,9	
00:11:59,888	783,0	
00:11:59,925	783,0	
00:11:59,962	783,0	
00:11:59,999	783,1	
00:12:00,036	783,1	
00:12:00,073	783,2	
00:12:00,110	783,2	
00:12:00,147	783,2	
00:12:00,184	783,3	
00:12:00,221	783,3	
00:12:00,258	783,4	
00:12:00,295	783,4	
00:12:00,332	783,4	
00:12:00,369	783,5	
00:12:00,406	783,5	
00:12:00,443	783,6	
00:12:00,480	783,6	
00:12:00,517	783,6	
00:12:00,554	783,7	
00:12:00,591	783,7	
00:12:00,628	783,8	
00:12:00,665	783,8	
00:12:00,702	783,8	
00:12:00,740	783,9	
00:12:00,777	783,9	
00:12:00,814	783,9	
00:12:00,851	784,0	
00:12:00,888	784,0	
00:12:00,925	784,1	
00:12:00,962	784,1	
00:12:00,999	784,1	
00:12:01,036	784,2	
00:12:01,073	784,2	
00:12:01,110	784,3	
00:12:01,147	784,3	
00:12:01,184	784,3	
00:12:01,221	784,4	
00:12:01,258	784,4	
00:12:01,295	784,5	
00:12:01,332	784,5	
00:12:01,369	784,5	
00:12:01,406	784,6	
00:12:01,443	784,6	
00:12:01,480	784,7	
00:12:01,517	784,7	
00:12:01,554	784,7	
00:12:01,591	784,8	
00:12:01,628	784,8	
00:12:01,665	784,9	
00:12:01,702	784,9	
00:12:01,740	784,9	
00:12:01,777	785,0	
00:12:01,814	785,0	
00:12:01,851	785,1	
00:12:01,888	785,1	
00:12:01,925	785,1	
00:12:01,962	785,2	
00:12:01,999	785,2	
00:12:02,036	785,3	
00:12:02,073	785,3	
00:12:02,110	785,3	
00:12:02,147	785,4	
00:12:02,184	785,4	
00:12:02,221	785,5	
00:12:02,258	785,5	
00:12:02,295	785,5	
00:12:02,332	785,6	
00:12:02,369	785,6	
00:12:02,406	785,7	
00:12:02,443	785,7	
00:12:02,480	785,7	
00:12:02,517	785,8	
00:12:02,554	785,8	
00:12:02,591	785,9	
00:12:02,628	785,9	
00:12:02,665	785,9	
00:12:02,702	786,0	
00:12:02,740	786,0	
00:12:02,777	786,1	
00:12:02,814	786,1	
00:12:02,851	786,1	
00:12:02,888	786,2	
00:12:02,925	786,2	
00:12:02,962	786,3	
00:12:02,999	786,3	
00:12:03,036	786,3	
00:12:03,073	786,4	
00:12:03,110	786,4	
00:12:03,147	786,5	
00:12:03,184	786,5	
00:12:03,221	786,5	
00:12:03,258	786,6	
00:12:03,295	786,6	
00:12:03,332	786,7	
00:12:03,369	786,7	
00:12:03,406	786,7	
00:12:03,443	786,8	
00:12:03,480	786,8	
00:12:03,517	786,9	
00:12:03,554	786,9	
00:12:03,591	786,9	
00:12:03,628	787,0	
00:12:03,665	787,0	
00:12:03,702	787,1	
00:12:03,740	787,1	
00:12:03,777	787,1	
00:12:03,814	787,2	
00:12:03,851	787,2	
00:12:03,888	787,3	
00:12:03,925	787,3	
00:12:03,962	787,3	
00:12:03,999	787,4	
00:12:04,036	787,4	
00:12:04,073	787,5	
00:12:04,110	787,5	
00:12:04,147	787,5	
00:12:04,184	787,6	
00:12:04,221	787,6	
00:12:04,258	787,7	
00:12:04,295	787,7	
00:12:04,332	787,7	
00:12:04,369	787,8	
00:12:04,406	787,8	
00:12:04,443	787,9	
00:12:04,480	787,9	
00:12:04,517	787,9	
00:12:04,554	788,0	
00:12:04,591	788,0	
00:12:04,628	788,1	
00:12:04,665	788,1	
00:12:04,702	788,1	
00:12:04,740	788,2	
00:12:04,777	788,2	
00:12:04,814	788,3	
00:12:04,851	788,3	
00:12:04,888	788,3	
00:12:04,925	788,4	
00:12:04,962	788,4	
00:12:04,999	788,5	
00:12:05,036	788,5	
00:12:05,073	788,5	
00:12:05,110	788,6	
00:12:05,147	788,6	
00:12:05,184	788,7	
00:12:05,221	788,7	
00:12:05,258	788,7	
00:12:05,295	788,8	
00:12:05,332	788,8	
00:12:05,369	788,9	
00:12:05,406	788,9	
00:12:05,443	788,9	
00:12:05,480	789,0	
00:12:05,517	789,0	
00:12:05,554	789,1	
00:12:05,591	789,1	
00:12:05,628	789,1	
00:12:05,665	789,2	
00:12:05,702	789,2	
00:12:05,740	789,3	
00:12:05,777	789,3	
00:12:05,814	789,3	
00:12:05,851	789,4	
00:12:05,888	789,4	
00:12:05,925	789,5	
00:12:05,962	789,5	
00:12:05,999	789,5	
00:12:06,036	789,6	
00:12:06,073	789,6	
00:12:06,110	789,7	
00:12:06,147	789,7	
00:12:06,184	789,7	
00:12:06,221	789,8	
00:12:06,258	789,8	
00:12:06,295	789,9	
00:12:06,332	789,9	
00:12:06,369	789,9	
00:12:06,406	790,0	
00:12:06,443	790,0	
00:12:06,480	790,1	
00:12:06,517	790,1	
00:12:06,554	790,1	
00:12:06,591	790,2	
00:12:06,628	790,2	
00:12:06,665	790,3	
00:12:06,702	790,3	
00:12:06,740	790,3	
00:12:06,777	790,4	
00:12:06,814	790,4	
00:12:06,851	790,4	
00:12:06,888	790,5	
00:12:06,925	790,5	
00:12:06,962	790,6	
00:12:06,999	790,6	
00:12:07,036	790,6	
00:12:07,073	790,7	
00:12:07,110	790,7	
00:12:07,147	790,8	
00:12:07,184	790,8	
00:12:07,221	790,8	
00:12:07,258	790,9	
00:12:07,295	790,9	
00:12:07,332	791,0	
00:12:07,369	791,0	
00:12:07,406	791,0	
00:12:07,443	791,1	
00:12:07,480	791,1	
00:12:07,517	791,2	
00:12:07,554	791,2	
00:12:07,591	791,2	
00:12:07,628	791,3	
00:12:07,665	791,3	
00:12:07,702	791,4	
00:12:07,740	791,4	
00:12:07,777	791,4	
00:12:07,814	791,5	
00:12:07,851	791,5	
00:12:07,888	791,6	
00:12:07,925	791,6	
00:12:07,962	791,6	
00:12:07,999	791,7	
00:12:08,036	791,7	
00:12:08,073	791,8	
00:12:08,110	791,8	
00:12:08,147	791,8	
00:12:08,184	791,9	
00:12:08,221	791,9	
00:12:08,258	792,0	
00:12:08,295	792,0	
00:12:08,332	792,0	
00:12:08,369	792,1	
00:12:08,406	792,1	
00:12:08,443	792,2	
00:12:08,480	792,2	
00:12:08,517	792,2	
00:12:08,554	792,3	
00:12:08,591	792,3	
00:12:08,628	792,4	
00:12:08,665	792,4	
00:12:08,702	792,4	
00:12:08,740	792,5	
00:12:08,777	792,5	
00:12:08,814	792,6	
00:12:08,851	792,6	
00:12:08,888	792,6	
00:12:08,925	792,7	
00:12:08,962	792,7	
00:12:08,999	792,8	
00:12:09,036	792,8	
00:12:09,073	792,8	
00:12:09,110	792,9	
00:12:09,147	792,9	
00:12:09,184	793,0	
00:12:09,221	793,0	
00:12:09,258	793,0	
00:12:09,295	793,1	
00:12:09,332	793,1	
00:12:09,369	793,2	
00:12:09,406	793,2	
00:12:09,443	793,2	
00:12:09,480	793,3	
00:12:09,517	793,3	
00:12:09,554	793,4	
00:12:09,591	793,4	
00:12:09,628	793,4	
00:12:09,665	793,5	
00:12:09,702	793,5	
00:12:09,740	793,6	
00:12:09,777	793,6	
00:12:09,814	793,6	
00:12:09,851	793,7	
00:12:09,888	793,7	
00:12:09,925	793,8	
00:12:09,962	793,8	
00:12:09,999	793,8	
00:12:10,036	793,9	
00:12:10,073	793,9	
00:12:10,110	794,0	
00:12:10,147	794,0	
00:12:10,184	794,0	
00:12:10,221	794,1	
00:12:10,258	794,1	
00:12:10,295	794,2	
00:12:10,332	794,2	
00:12:10,369	794,2	
00:12:10,406	794,3	
00:12:10,443	794,3	
00:12:10,480	794,4	
00:12:10,517	794,4	
00:12:10,554	794,4	
00:12:10,591	794,5	
00:12:10,628	794,5	
00:12:10,665	794,6	
00:12:10,702	794,6	
00:12:10,740	794,6	
00:12:10,777	794,7	
00:12:10,814	794,7	
00:12:10,851	794,8	
00:12:10,888	794,8	
00:12:10,925	794,8	
00:12:10,962	794,9	
00:12:10,999	794,9	
00:12:11,036	795,0	
00:12:11,073	795,0	
00:12:11,110	795,0	
00:12:11,147	795,1	
00:12:11,184	795,1	
00:12:11,221	795,2	
00:12:11,258	795,2	
00:12:11,295	795,2	
00:12:11,332	795,3	
00:12:11,369	795,3	
00:12:11,406	795,4	
00:12:11,443	795,4	
00:12:11,480	795,4	
00:12:11,517	795,5	
00:12:11,554	795,5	
00:12:11,591	795,6	
00:12:11,628	795,6	
00:12:11,665	795,6	
00:12:11,702	795,7	
00:12:11,740	795,7	
00:12:11,777	795,8	
00:12:11,814	795,8	
00:12:11,851	795,8	
00:12:11,888	795,9	
00:12:11,925	795,9	
00:12:11,962	796,0	
00:12:11,999	796,0	
00:12:12,036	796,0	
00:12:12,073	796,1	
00:12:12,110	796,1	
00:12:12,147	796,2	
00:12:12,184	796,2	
00:12:12,221	796,2	
00:12:12,258	796,3	
00:12:12,295	796,3	
00:12:12,332	796,4	
00:12:12,369	796,4	
00:12:12,406	796,4	
00:12:12,443	796,5	
00:12:12,480	796,5	
00:12:12,517	796,6	
00:12:12,554	796,6	
00:12:12,591	796,6	
00:12:12,628	796,7	
00:12:12,665	796,7	
00:12:12,702	796,7	
00:12:12,740	796,8	
00:12:12,777	796,8	
00:12:12,814	796,9	
00:12:12,851	796,9	
00:12:12,888	796,9	
00:12:12,925	797,0	
00:12:12,962	797,0	
00:12:12,999	797,1	
00:12:13,036	797,1	
00:12:13,073	797,1	
00:12:13,110	797,2	
00:12:13,147	797,2	
00:12:13,184	797,3	
00:12:13,221	797,3	
00:12:13,258	797,3	
00:12:13,295	797,4	
00:12:13,332	797,4	
00:12:13,369	797,5	
00:12:13,406	797,5	
00:12:13,443	797,5	
00:12:13,480	797,6	
00:12:13,517	797,6	
00:12:13,554	797,7	
00:12:13,591	797,7	
00:12:13,628	797,7	
00:12:13,665	797,8	
00:12:13,702	797,8	
00:12:13,740	797,9	
00:12:13,777	797,9	
00:12:13,814	797,9	
00:12:13,851	798,0	
00:12:13,888	798,0	
00:12:13,925	798,1	
00:12:13,962	798,1	
00:12:13,999	798,1	
00:12:14,036	798,2	
00:12:14,073	798,2	
00:12:14,110	798,3	
00:12:14,147	798,3	
00:12:14,184	798,3	
00:12:14,221	798,4	
00:12:14,258	798,4	
00:12:14,295	798,5	
00:12:14,332	798,5	
00:12:14,369	798,5	
00:12:14,406	798,6	
00:12:14,443	798,6	
00:12:14,480	798,7	
00:12:14,517	798,7	
00:12:14,554	798,7	
00:12:14,591	798,8	
00:12:14,628	798,8	
00:12:14,665	798,9	
00:12:14,702	798,9	
00:12:14,740	798,9	
00:12:14,777	799,0	
00:12:14,814	799,0	
00:12:14,851	799,1	
00:12:14,888	799,1	
00:12:14,925	799,1	
00:12:14,962	799,2	
00:12:14,999	799,2	
00:12:15,036	799,3	
00:12:15,073	799,3	
00:12:15,110	799,3	
00:12:15,147	799,4	
00:12:15,184	799,4	
00:12:15,221	799,5	
00:12:15,258	799,5	
00:12:15,295	799,5	
00:12:15,332	799,6	
00:12:15,369	799,6	
00:12:15,406	799,7	
00:12:15,443	799,7	
00:12:15,480	799,7	
00:12:15,517	799,8	
00:12:15,554	799,8	
00:12:15,591	799,9	
00:12:15,628	799,9	
00:12:15,665	799,9	
00:12:15,702	800,0	
00:12:15,740	800,0	
00:12:15,777	800,1	
00:12:15,814	800,1	
00:12:15,851	800,1	
00:12:15,888	800,2	
00:12:15,925	800,2	
00:12:15,962	800,3	
00:12:15,999	800,3	
00:12:16,036	800,3	
00:12:16,073	800,4	
00:12:16,110	800,4	
00:12:16,147	800,5	
00:12:16,184	800,5	
00:12:16,221	800,5	
00:12:16,258	800,6	
00:12:16,295	800,6	
00:12:16,332	800,7	
00:12:16,369	800,7	
00:12:16,406	800,7	
00:12:16,443	800,8	
00:12:16,480	800,8	
00:12:16,517	800,9	
00:12:16,554	800,9	
00:12:16,591	800,9	
