[Connect DataFile][1.1]
Date:	11.03.2026
Time:	11:54:29,321
Unit:	°C
Resolution:	0,037037
Values:	1
Time	Area 1	
00:00:17,962	514,3	
00:00:17,999	514,3	
00:00:18,037	514,3	
00:00:18,074	514,3	
00:00:18,111	514,3	
00:00:18,148	514,3	
00:00:18,185	514,3	
00:00:18,222	514,3	
00:00:18,259	514,3	
00:00:18,296	514,4	
00:00:18,333	514,4	
00:00:18,370	514,4	
00:00:18,407	514,4	
00:00:18,444	514,4	
00:00:18,481	514,4	
00:00:18,518	514,4	
00:00:18,555	514,4	
00:00:18,592	514,4	
00:00:18,629	514,4	
00:00:18,666	514,3	
00:00:18,703	514,3	
00:00:18,740	514,3	
00:00:18,777	514,3	
00:00:18,814	514,3	
00:00:18,851	514,2	
00:00:18,888	514,2	
00:00:18,925	514,2	
00:00:18,962	514,2	
00:00:18,999	514,2	
00:00:19,037	514,1	
00:00:19,074	514,1	
00:00:19,111	514,1	
00:00:19,148	514,1	
00:00:19,185	514,1	
00:00:19,222	514,1	
00:00:19,259	514,0	
00:00:19,296	514,0	
00:00:19,333	514,0	
00:00:19,370	514,0	
00:00:19,407	514,0	
00:00:19,444	513,9	
00:00:19,481	513,9	
00:00:19,518	513,9	
00:00:19,555	513,9	
00:00:19,592	513,9	
00:00:19,629	513,8	
00:00:19,666	513,8	
00:00:19,703	513,8	
00:00:19,740	513,8	
00:00:19,777	513,8	
00:00:19,814	513,8	
00:00:19,851	513,7	
00:00:19,888	513,7	
00:00:19,925	513,7	
00:00:19,962	513,7	
00:00:19,999	513,7	
00:00:20,037	513,6	
00:00:20,074	513,6	
00:00:20,111	513,6	
00:00:20,148	513,6	
00:00:20,185	513,6	
00:00:20,222	513,6	
00:00:20,259	513,5	
00:00:20,296	513,5	
00:00:20,333	513,5	
00:00:20,370	513,5	
00:00:20,407	513,5	
00:00:20,444	513,4	
00:00:20,481	513,4	
00:00:20,518	513,4	
00:00:20,555	513,4	
00:00:20,592	513,4	
00:00:20,629	513,4	
00:00:20,666	513,3	
00:00:20,703	513,3	
00:00:20,740	513,3	
00:00:20,777	513,3	
00:00:20,814	513,3	
00:00:20,851	513,2	
00:00:20,888	513,2	
00:00:20,925	513,2	
00:00:20,962	513,2	
00:00:20,999	513,2	
00:00:21,037	513,2	
00:00:21,074	513,1	
00:00:21,111	513,1	
00:00:21,148	513,1	
00:00:21,185	513,1	
00:00:21,222	513,1	
00:00:21,259	513,0	
00:00:21,296	513,0	
00:00:21,333	513,0	
00:00:21,370	513,0	
00:00:21,407	513,0	
00:00:21,444	513,0	
00:00:21,481	512,9	
00:00:21,518	512,9	
00:00:21,555	512,9	
00:00:21,592	512,9	
00:00:21,629	512,9	
00:00:21,666	512,8	
00:00:21,703	512,8	
00:00:21,740	512,8	
00:00:21,777	512,8	
00:00:21,814	512,8	
00:00:21,851	512,7	
00:00:21,888	512,7	
00:00:21,925	512,7	
00:00:21,962	512,7	
00:00:21,999	512,7	
00:00:22,037	512,7	
00:00:22,074	512,6	
00:00:22,111	512,6	
00:00:22,148	512,6	
00:00:22,185	512,6	
00:00:22,222	512,6	
00:00:22,259	512,5	
00:00:22,296	512,5	
00:00:22,333	512,5	
00:00:22,370	512,5	
00:00:22,407	512,5	
00:00:22,444	512,5	
00:00:22,481	512,4	
00:00:22,518	512,4	
00:00:22,555	512,4	
00:00:22,592	512,4	
00:00:22,629	512,4	
00:00:22,666	512,3	
00:00:22,703	512,3	
00:00:22,740	512,3	
00:00:22,777	512,3	
00:00:22,814	512,3	
00:00:22,851	512,3	
00:00:22,888	512,2	
00:00:22,925	512,2	
00:00:22,962	512,2	
00:00:22,999	512,2	
00:00:23,037	512,2	
00:00:23,074	512,1	
00:00:23,111	512,1	
00:00:23,148	512,1	
00:00:23,185	512,1	
00:00:23,222	512,1	
00:00:23,259	512,1	
00:00:23,296	512,0	
00:00:23,333	512,0	
00:00:23,370	512,0	
00:00:23,407	512,0	
00:00:23,444	512,0	
00:00:23,481	511,9	
00:00:23,518	511,9	
00:00:23,555	511,9	
00:00:23,592	511,9	
00:00:23,629	511,9	
00:00:23,666	511,8	
00:00:23,703	511,8	
00:00:23,740	511,8	
00:00:23,777	511,8	
00:00:23,814	511,8	
00:00:23,851	511,8	
00:00:23,888	511,7	
00:00:23,925	511,7	
00:00:23,962	511,7	
00:00:23,999	511,7	
00:00:24,037	511,7	
00:00:24,074	511,6	
00:00:24,111	511,6	
